ETF_Id,Ticker_Symbol,Weight
0052,6526,0.07
0052,6789,0.07
0052,8046,0.06
0053,2330,51.51
0053,2454,5.59
0053,2317,4.13
0053,2308,2.77
0053,2412,2.19
0053,2382,1.9
0053,3711,1.4
0053,2303,1.32
0053,2357,0.97
0053,3045,0.89
0053,2345,0.78
0053,3034,0.72
0053,6669,0.7
0053,2395,0.66
0053,3008,0.64
0053,3231,0.61
0053,4904,0.57
0053,2379,0.53
0053,2301,0.52
0053,4938,0.47
0053,2059,0.44
0053,3443,0.43
0053,2383,0.4
0053,3533,0.4
0053,2376,0.38
0053,3017,0.38
0053,2327,0.37
0053,2474,0.33
0053,2356,0.32
0053,2324,0.31
0053,2377,0.3
0053,3037,0.3
0053,6415,0.28
0053,2347,0.28
0053,2360,0.27
0053,2385,0.26
0053,2408,0.24
0053,3450,0.24
0053,2353,0.24
0053,3481,0.24
0053,2368,0.24
0053,3044,0.23
0053,3702,0.23
0053,2409,0.22
0053,3653,0.22
0053,4958,0.21
0053,3665,0.21
0053,2449,0.2
0053,5269,0.2
0053,6239,0.19
0053,2354,0.19
0053,2404,0.19
0053,6285,0.18
0053,3617,0.18
0053,2344,0.17
0053,3005,0.17
0053,6176,0.17
0053,3023,0.17
0053,6781,0.17
0053,3706,0.15
0053,2313,0.15
0053,6409,0.15
0053,3376,0.14
0053,8046,0.14
0053,2352,0.13
0053,3036,0.13
0053,2393,0.12
0053,3406,0.12
0053,6412,0.12
0053,5434,0.12
0053,3019,0.11
0053,6191,0.11
0053,6214,0.11
0053,3035,0.1
0053,6257,0.1
0053,3563,0.1
0053,3596,0.1
0053,2388,0.09
0053,2451,0.09
0053,2458,0.09
0053,3189,0.09
0053,6531,0.09
0053,3022,0.09
0053,6166,0.09
0053,2402,0.09
0053,2421,0.09
0053,2492,0.09
0053,2329,0.08
0053,2337,0.08
0053,3014,0.08
0053,8081,0.08
0053,6579,0.08
0053,3454,0.08
0053,6278,0.08
0053,1582,0.08
0053,6282,0.08
0053,8070,0.08
0053,2464,0.08
0053,3532,0.07
0053,3592,0.07
0053,6770,0.07
0053,6206,0.07
0053,5234,0.07
0053,2450,0.07
0053,2328,0.07
0053,3042,0.07
0053,3090,0.07
0053,5469,0.07
0053,2441,0.06
0053,3413,0.06
0053,4919,0.06
0053,4961,0.06
0053,6271,0.06
0053,2397,0.06
