Ticker_Symbol,Stock_Name,Sector
3455,由田,光電業
3481,群創,光電業
3491,昇達科,通信網路業
3504,揚明光,光電業
3515,華擎,電腦及週邊設備業
3526,凡甲,電子零組件業
3529,力旺,半導體業
3530,晶相光,半導體業
3532,台勝科,半導體業
3533,嘉澤,電子零組件業
3545,敦泰,半導體業
3552,同致,其他電子業
3563,牧德,光電業
3576,聯合再生,光電業
3583,辛耘,半導體業
3592,瑞鼎,半導體業
3596,智易,通信網路業
3617,碩天,其他電子業
3622,洋華,光電業
3645,達邁,電子零組件業
3653,健策,電子零組件業
3661,世芯-KY,半導體業
3665,貿聯-KY,其他電子業
3680,家登,半導體業
3694,海華,通信網路業
3702,大聯大,電子通路業
3703,欣陸,建材營造
3704,合勤控,通信網路業
3705,永信,生技醫療業
3706,神達,電腦及週邊設備業
3711,日月光投控,半導體業
3714,富采,光電業
4104,佳醫,生技醫療業
4105,東洋,生技醫療業
4126,太醫,生技醫療業
4164,承業醫,生技醫療業
4536,拓凱,運動休閒
4571,鈞興-KY,電機機械
4576,大銀微系統,電機機械
4583,台灣精銳,電機機械
4721,美琪瑪,化學工業
4739,康普,化學工業
4749,新應材,半導體業
4755,三福化,化學工業
4763,材料-KY,化學工業
4766,南寶,化學工業
4904,遠傳,通信網路業
4906,正文,通信網路業
4912,聯德控股-KY,電子零組件業
4915,致伸,電子零組件業
4919,新唐,半導體業
4933,友輝,光電業
4938,和碩,電腦及週邊設備業
4942,嘉彰,光電業
4952,凌通,半導體業
4953,緯軟,資訊服務業
4958,臻鼎-KY,電子零組件業
4961,天鈺,半導體業
4966,譜瑞-KY,半導體業
4968,立積,半導體業
4977,眾達-KY,通信網路業
4994,傳奇,資訊服務業
5009,榮剛,鋼鐵工業
5203,訊連,資訊服務業
5209,新鼎,其他
5225,東科-KY,其他電子業
5234,達興材料,光電業
5269,祥碩,半導體業
5274,信驊,半導體業
5285,界霖,半導體業
5288,豐祥-KY,電機機械
5289,宜鼎,電腦及週邊設備業
5309,系統電,電子零組件業
5347,世界,半導體業
5351,鈺創,半導體業
5371,中光電,光電業
5388,中磊,通信網路業
5434,崇越,電子通路業
5457,宣德,電子零組件業
5469,瀚宇博,電子零組件業
5471,松翰,半導體業
5478,智冠,文化創意業
5483,中美晶,半導體業
5508,永信建,建材營造
5522,遠雄,建材營造
5534,長虹,建材營造
5536,聖暉*,其他電子業
5609,中菲行,航運業
5871,中租-KY,其他
5876,上海商銀,金融保險業
5880,合庫金,金融保險業
5903,全家,居家生活
5904,寶雅,居家生活
6005,群益證,金融保險業
6023,元大期貨,金融業
6024,群益期,金融保險業
6104,創惟,半導體業
6112,邁達特,資訊服務業
6115,鎰勝,電子零組件業
6116,彩晶,光電業
6121,新普,電腦及週邊設備業
6138,茂達,半導體業
6139,亞翔,其他電子業
6146,耕興,其他電子業
6147,頎邦,半導體業
6153,嘉聯益,電子零組件業
6166,凌華,電腦及週邊設備業
6168,宏齊,光電業
6176,瑞儀,光電業
6182,合晶,半導體業
6183,關貿,資訊服務業
6187,萬潤,其他電子業
6189,豐藝,電子通路業
6191,精成科,電子零組件業
6196,帆宣,其他電子業
6197,佳必琪,電子零組件業
6202,盛群,半導體業
6206,飛捷,電腦及週邊設備業
6213,聯茂,電子零組件業
6214,精誠,資訊服務業
6223,旺矽,半導體業
6230,尼得科超眾,電腦及週邊設備業
6231,系微,資訊服務業
6239,力成,半導體業
6257,矽格,半導體業
6261,久元,半導體業
6263,普萊德,通信網路業
6269,台郡,電子零組件業
6271,同欣電,半導體業
6274,台燿,電子零組件業
6277,宏正,電腦及週邊設備業
6278,台表科,光電業
6281,全國電,電子通路業
6282,康舒,電子零組件業
6284,佳邦,電子零組件業
6285,啟碁,通信網路業
6409,旭隼,其他電子業
6411,晶焱,半導體業
6412,群電,電子零組件業
6414,樺漢,電腦及週邊設備業
6415,矽力*-KY,半導體業
6416,瑞祺電通,通信網路業
6438,迅得,其他電子業
6442,光聖,通信網路業
6446,藥華藥,生技醫療業
6449,鈺邦,電子零組件業
6456,GIS-KY,光電業
6462,神盾,半導體業
6472,保瑞,生技醫療業
6488,環球晶,半導體業
6491,晶碩,生技醫療業
6505,台塑化,油電燃氣業
6509,聚和,化學工業
6515,穎崴,半導體業
6525,捷敏-KY,半導體業
6526,達發,半導體業
6531,愛普*,半導體業
6533,晶心科,半導體業
6548,長科*,半導體業
6561,是方,通信網路業
6579,研揚,電腦及週邊設備業
6581,鋼聯,綠能環保
6592,和潤企業,其他
6605,帝寶,汽車工業
6613,朋億*,其他電子業
6643,M31,半導體業
6664,群翊,電子零組件業
6669,緯穎,電腦及週邊設備業
6670,復盛應用,運動休閒
6672,騰輝電子-KY,電子零組件業
6679,鈺太,半導體業
6689,伊雲谷,數位雲端
6691,洋基工程,其他電子業
6706,惠特,光電業
6715,嘉基,電子零組件業
6719,力智,半導體業
6732,昇佳電子,半導體業
6756,威鋒電子,半導體業
6763,綠界科技*,數位雲端
6770,力積電,半導體業
6781,AES-KY,電子零組件業
6789,采鈺,半導體業
6790,永豐實,造紙工業
6803,崑鼎,綠能環保
6805,富世達,電子零組件業
6806,森崴能源,綠能環保
6873,泓德能源,綠能環保
6890,來億-KY,運動休閒
6919,康霈*,生技醫療業
6937,天虹,半導體業
6962,奕力-KY,半導體業
8016,矽創,半導體業
8021,尖點,其他電子業
8028,昇陽半導體,半導體業
8039,台虹,電子零組件業
8046,南電,電子零組件業
8050,廣積,電腦及週邊設備業
8054,安國,半導體業
8069,元太,光電業
8070,長華*,電子通路業
8081,致新,半導體業
8086,宏捷科,半導體業
8110,華東,半導體業
8112,至上,電子通路業
8114,振樺電,電腦及週邊設備業
8131,福懋科,半導體業
8150,南茂,半導體業
8163,達方,電腦及週邊設備業
8210,勤誠,電腦及週邊設備業
8213,志超,電子零組件業
8215,明基材,光電業
8249,菱光,電子零組件業
8261,富鼎,半導體業
8271,宇瞻,半導體業
8299,群聯,半導體業
8349,恒耀國際,鋼鐵工業
8358,金居,電子零組件業
8374,羅昇,電機機械
8422,可寧衛,綠能環保
8436,大江,生技醫療業
8454,富邦媒,數位雲端
8464,億豐,居家生活
8478,東哥遊艇,運動休閒
8916,光隆,其他
8926,台汽電,油電燃氣業
8996,高力,電機機械
9802,鈺齊-KY,運動休閒
9904,寶成,運動休閒
9906,欣巴巴,建材營造
9907,統一實,其他
9910,豐泰,運動休閒
9911,櫻花,居家生活
9914,美利達,運動休閒
9917,中保科,其他
9921,巨大,運動休閒
9924,福興,居家生活
9927,泰銘,其他
9930,中聯資源,綠能環保
9933,中鼎,其他
9938,百和,其他
9939,宏全,其他
9940,信義,其他
9941,裕融,其他
9942,茂順,其他
9945,潤泰新,其他
9958,世紀鋼,鋼鐵工業
